id	category_code	category_name	brand_name	bar_code	name	unit	packing_unit	packing_specification	suggested_retail_price	supply_price	cost_price	supplier_name	valid_period	portrait	unit_specification
3541	0809	果冻	竹叶堂	4714221131196	竹叶堂	盒	箱	30	13	0	0		0		200g/盒
3542	0809	果冻	竹叶堂	4714221131226	竹叶堂	盒	箱	30	13	0	0		0		200g/盒
3543	0809	果冻	竹叶堂	4714221130816	竹叶堂	盒	箱	30	13	0	0		0		200g/盒
3544	0804	香脆食品	养养	8852018301004	养养	杯	箱	12	8	0	0		360		70g/杯
3545	0804	香脆食品	养养	8852018301011	养养	杯	箱	12	8	0	0		360		70g/杯
3546	0804	香脆食品	养养	8852018301035	养养	杯	箱	12	8	0	0		360		70g/杯
3547	0804	香脆食品	养养	8852018301028	养养	杯	箱	12	8	0	0		360		70g/杯
3548	0815	饮料冲调	杰事	8854761720125	杰事	罐	箱	24	7	0	0		0		230ml/罐
3549	0815	饮料冲调	杰事	8854761720149	杰事	罐	箱	24	7	0	0		0		230ml/罐
3550	0815	饮料冲调	杰事	8854761720088	杰事	罐	箱	24	7	0	0		0		230ml/罐
3551	0815	饮料冲调	杰事	8854761720071	杰事	罐	箱	24	7	0	0		0		230ml/罐
3552	0815	饮料冲调	杰事	8854761720064	杰事	罐	箱	24	7	0	0		0		230ml/罐
3553	0815	饮料冲调	杰事	8854761720101	杰事	罐	箱	24	7	0	0		0		230ml/罐
3554	0815	饮料冲调	津津露	761934141022	津津露	瓶	箱	24	8	0	0		540		320ml/瓶
3555	0815	饮料冲调	津津露	761934141053	津津露	瓶	箱	24	8	0	0		540		320ml/瓶
3556	0813	其他	天新发	8936034510135	天新发	包	箱	20	22	0	0		360		230g/包
3557	0813	其他	天新发	8936034510173	天新发	包	箱	20	20	0	0		360		230g/包
3558	0813	其他	天新发	8936034510036	天新发	包	箱	40	13	0	0		360		100g/包
3559	0813	其他	天新发	8936034510074	天新发	包	箱	40	12	0	0		360		100g/包
3560	0813	其他	天新发	8936034515888	天新发	包	箱	40	10	0	0		360		100g/包
3561	0810	糖果巧克力	臻采	6947929611211	臻采	盒	箱	24	9	0	0		360		60g/盒
3562	0802	肉类熟食	可可西里	6938113204357	可可西里	袋	箱	30	20	0	0		360		68g/袋
3563	0802	肉类熟食	可可西里	6938113200540	可可西里	袋	箱	38	49	0	0		360		150g/袋
3564	0802	肉类熟食	可可西里	6938113200526	可可西里	袋	箱	38	49	0	0		360		150g/袋
3565	0802	肉类熟食	可可西里	6938113200533	可可西里	袋	箱	38	49	0	0		360		150g/袋
3566	0802	肉类熟食	可可西里	6938113200816	可可西里	袋	箱	50	30	0	0		360		128g/袋
3567	0802	肉类熟食	可可西里	6938113200588	可可西里	袋	箱	48	13	0	0		360		40g/袋
3568	0802	肉类熟食	可可西里	6938113200571	可可西里	袋	箱	48	13	0	0		360		40g/袋
3569	0802	肉类熟食	可可西里	6938113200564	可可西里	袋	箱	48	13	0	0		360		40g/袋
3570	0802	肉类熟食	可可西里	6938113200144	可可西里	袋	箱	18	65	0	0		360		200g/袋
3571	0802	肉类熟食	可可西里	6938113200809	可可西里	袋	箱	32	39	0	0		360		150g/袋
3572	0802	肉类熟食	紫燕百味鸡	6970410190513	紫燕百味鸡	袋	袋	30	14	0	0		210		80g/袋
